0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	9.0	9.0	9.0	21.0	21.0	32.0	34.0	31.0	48.0	44.0	57.0	56.0	57.0	67.0	70.0
3.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	4.0	9.0	8.0	11.0	17.0	13.0	20.0	20.0	26.0	23.0	38.0	30.0	37.0	42.0	50.0	48.0	41.0	26.0	38.0	31.0	21.0	26.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	14.0	10.0	21.0	17.0	20.0	18.0	17.0	8.0	15.0	13.0	22.0	12.0	13.0	12.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	3.0	6.0	7.0	8.0	8.0	11.0	18.0	12.0	22.0	15.0
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	7.0	4.0	3.0	5.0	5.0	6.0	6.0	9.0	13.0	12.0	9.0
